pickup_date,borough,pickups,speed
1/5/15 11:00,Manhattan,962,16
1/5/15 11:00,Queens,220,16
1/5/15 11:00,Staten Island,0,16
1/5/15 12:00,Bronx,27,13
1/5/15 12:00,Brooklyn,248,13
1/5/15 12:00,Manhattan,1069,13
1/5/15 12:00,Queens,189,13
1/5/15 12:00,Staten Island,1,13
1/5/15 13:00,Bronx,22,15
1/5/15 13:00,Brooklyn,234,15
1/5/15 13:00,Manhattan,1036,15
1/5/15 13:00,Queens,153,15
1/5/15 13:00,Staten Island,0,15
1/5/15 14:00,Bronx,18,14
1/5/15 14:00,Brooklyn,234,14
1/5/15 14:00,Manhattan,1157,14
1/5/15 14:00,Queens,180,14
1/5/15 14:00,Staten Island,0,14
1/5/15 15:00,Bronx,29,7
1/5/15 15:00,Brooklyn,246,7
1/5/15 15:00,Manhattan,1367,7
1/5/15 15:00,Queens,274,7
1/5/15 15:00,Staten Island,2,7
1/5/15 16:00,Bronx,28,16
1/5/15 16:00,Brooklyn,256,16
1/5/15 16:00,Manhattan,1453,16
1/5/15 16:00,Queens,246,16
1/5/15 16:00,Staten Island,3,16
1/5/15 17:00,Bronx,36,7
1/5/15 17:00,Brooklyn,286,7
1/5/15 17:00,Manhattan,1946,7
1/5/15 17:00,Queens,229,7
1/5/15 17:00,Staten Island,2,7
1/5/15 18:00,Bronx,22,9
1/5/15 18:00,Brooklyn,319,9
1/5/15 18:00,Manhattan,2768,9
1/5/15 18:00,Queens,286,9
1/5/15 18:00,Staten Island,0,9
1/5/15 19:00,Bronx,34,8
1/5/15 19:00,Brooklyn,427,8
1/5/15 19:00,Manhattan,2813,8
1/5/15 19:00,Queens,265,8
1/5/15 19:00,Staten Island,1,8
1/5/15 20:00,Bronx,24,7
1/5/15 20:00,Brooklyn,438,7
1/5/15 20:00,Manhattan,2309,7
1/5/15 20:00,Queens,279,7
1/5/15 20:00,Staten Island,1,7
1/5/15 21:00,Bronx,21,15
1/5/15 21:00,Brooklyn,409,15
1/5/15 21:00,Manhattan,2064,15
1/5/15 21:00,Queens,294,15
1/5/15 21:00,Staten Island,1,15
1/5/15 22:00,Bronx,15,10
1/5/15 22:00,Brooklyn,426,10
1/5/15 22:00,Manhattan,1689,10
1/5/15 22:00,Queens,281,10
1/5/15 22:00,Staten Island,1,10
1/5/15 23:00,Bronx,24,14
1/5/15 23:00,Brooklyn,361,14
1/5/15 23:00,Manhattan,1364,14
1/5/15 23:00,Queens,301,14
1/5/15 23:00,Staten Island,0,14
1/6/15 0:00,Bronx,18,9
1/6/15 0:00,Brooklyn,245,9
1/6/15 0:00,Manhattan,750,9
1/6/15 0:00,Queens,339,9
1/6/15 0:00,Staten Island,0,9
1/6/15 1:00,Bronx,10,11
1/6/15 1:00,Brooklyn,166,11
1/6/15 1:00,Manhattan,460,11
1/6/15 1:00,Queens,165,11
1/6/15 1:00,Staten Island,1,11
1/6/15 2:00,Bronx,9,3
1/6/15 2:00,Brooklyn,75,3
1/6/15 2:00,Manhattan,282,3
1/6/15 2:00,Queens,62,3
1/6/15 2:00,Staten Island,0,3
1/6/15 3:00,Bronx,9,6
1/6/15 3:00,Brooklyn,62,6
1/6/15 3:00,Manhattan,188,6
1/6/15 3:00,Queens,22,6
1/6/15 3:00,Staten Island,0,6
1/6/15 4:00,Bronx,6,8
1/6/15 4:00,Brooklyn,61,8
1/6/15 4:00,Manhattan,202,8
1/6/15 4:00,Queens,36,8
1/6/15 4:00,Staten Island,0,8
1/6/15 5:00,Bronx,10,7
1/6/15 5:00,Brooklyn,131,7
1/6/15 5:00,Manhattan,343,7
1/6/15 5:00,Queens,64,7
1/6/15 5:00,Staten Island,1,7
1/6/15 6:00,Bronx,16,10
1/6/15 6:00,Brooklyn,186,10
1/6/15 6:00,Manhattan,590,10
1/6/15 6:00,Queens,142,10
1/6/15 6:00,Staten Island,0,10
1/6/15 7:00,Bronx,25,3
1/6/15 7:00,Brooklyn,333,3
1/6/15 7:00,Manhattan,1334,3
1/6/15 7:00,Queens,147,3
1/6/15 7:00,Staten Island,0,3
1/6/15 8:00,Bronx,31,7
1/6/15 8:00,Brooklyn,412,7
1/6/15 8:00,Manhattan,2265,7
1/6/15 8:00,Queens,231,7
1/6/15 8:00,Staten Island,0,7
1/6/15 9:00,Bronx,22,7
1/6/15 9:00,Brooklyn,440,7
1/6/15 9:00,Manhattan,2659,7
1/6/15 9:00,Queens,212,7
1/6/15 9:00,Staten Island,1,7
1/6/15 10:00,Bronx,27,5
1/6/15 10:00,Brooklyn,385,5
1/6/15 10:00,Manhattan,2050,5
1/6/15 10:00,Queens,204,5
1/6/15 10:00,Staten Island,1,5
1/6/15 11:00,Bronx,23,0
1/6/15 11:00,Brooklyn,279,0
1/6/15 11:00,Manhattan,1684,0
1/6/15 11:00,Queens,168,0
1/6/15 11:00,Staten Island,0,0
1/6/15 12:00,Bronx,31,9
1/6/15 12:00,Brooklyn,253,9
1/6/15 12:00,Manhattan,1737,9
1/6/15 12:00,Queens,140,9
1/6/15 12:00,Staten Island,0,9
1/6/15 13:00,Bronx,22,3
1/6/15 13:00,Brooklyn,214,3
1/6/15 13:00,Manhattan,1580,3
1/6/15 13:00,Queens,137,3
1/6/15 13:00,Staten Island,0,3
1/6/15 14:00,Bronx,37,0.75
1/6/15 14:00,Brooklyn,238,0.75
1/6/15 14:00,Manhattan,1594,0.75
1/6/15 14:00,Queens,151,0.75
1/6/15 14:00,Staten Island,1,0.75
1/6/15 15:00,Bronx,27,0
1/6/15 15:00,Brooklyn,285,0
1/6/15 15:00,Manhattan,1853,0
1/6/15 15:00,Queens,205,0
1/6/15 15:00,Staten Island,0,0
1/6/15 16:00,Bronx,40,0
1/6/15 16:00,Brooklyn,283,0
1/6/15 16:00,Manhattan,1851,0
1/6/15 16:00,Queens,227,0
1/6/15 16:00,Staten Island,0,0
1/6/15 17:00,Bronx,38,6.666666667
1/6/15 17:00,Brooklyn,309,6.666666667
1/6/15 17:00,Manhattan,2768,6.666666667
1/6/15 17:00,Queens,228,6.666666667
1/6/15 17:00,Staten Island,1,6.666666667
1/6/15 18:00,Bronx,45,4.75
1/6/15 18:00,Brooklyn,385,4.75
1/6/15 18:00,Manhattan,3742,4.75
1/6/15 18:00,Queens,214,4.75
1/6/15 18:00,Staten Island,1,4.75
1/6/15 19:00,Bronx,38,7.25
